camera_code,camera_name,department_code,district,city,location_description,latitude,longitude,coverage_radius_m,bearing_degrees,field_of_view_degrees,camera_type,status,health,connectivity_type,stream_protocol,vendor,model,vms,stream_reference,credential_reference,rtsp_capable,onvif_capable,ownership,owner_name,is_public_facing,storage_details,ai_capabilities,tags,installation_date,installed_by,installation_metadata,source_system,external_id
HOME-AHD-001,Ashram Road Demo East,HOME,Ahmedabad,Ahmedabad,Representative junction coordinate only,23.0304,72.5696,80,90,70,anpr,active,online,fiber,rtsp,DemoVendorA,DV-A1,Department Demo VMS,connection-profile:demo-home-ahd-001,credential-profile:demo-home-ahd-001,true,true,government,Home Department,true,"{""type"":""department_nvr"",""retention_days"":15}",vehicle_detection|vehicle_tracking|anpr,junction|demo|eastbound,2025-01-15,Demo Integrator,"{""purpose"":""representative_demo""}",seed,P01-HOME-AHD-001
HOME-GNR-001,Central Vista Demo North,HOME,Gandhinagar,Gandhinagar,Representative public area coordinate only,23.2156,72.6369,100,0,80,ptz,active,online,mpls,onvif,DemoVendorB,DV-B2,Department Demo VMS,connection-profile:demo-home-gnr-001,credential-profile:demo-home-gnr-001,true,true,government,Home Department,true,"{""type"":""department_nvr"",""retention_days"":15}",vehicle_detection|vehicle_tracking|person_detection,public_area|demo|northbound,2025-02-10,Demo Integrator,"{""purpose"":""representative_demo""}",seed,P01-HOME-GNR-001
RTO-SUR-001,Surat Checkpoint Demo,RTO,Surat,Surat,Representative checkpoint coordinate only,21.1702,72.8311,65,180,55,anpr,active,online,fiber,rtsp,DemoVendorA,DV-A1,Transport Demo VMS,connection-profile:demo-rto-sur-001,credential-profile:demo-rto-sur-001,true,false,government,Transport Department,true,"{""type"":""local_nvr"",""retention_days"":30}",vehicle_detection|vehicle_tracking|anpr,checkpoint|demo|southbound,2025-03-05,Demo Integrator,"{""purpose"":""representative_demo""}",seed,P01-RTO-SUR-001
RTO-VAD-001,Vadodara Track Gate Demo,RTO,Vadodara,Vadodara,Representative testing facility coordinate only,22.3072,73.1812,55,270,50,bullet,maintenance,degraded,broadband,rtsp,DemoVendorC,DV-C3,Transport Demo VMS,connection-profile:demo-rto-vad-001,credential-profile:demo-rto-vad-001,true,false,government,Transport Department,false,"{""type"":""local_nvr"",""retention_days"":15}",vehicle_detection|anpr,testing_track|demo|maintenance,2024-11-21,Demo Integrator,"{""purpose"":""representative_demo""}",seed,P01-RTO-VAD-001
ULB-RAJ-001,Rajkot Municipal Junction Demo,ULB,Rajkot,Rajkot,Representative municipal junction coordinate only,22.3039,70.8022,90,45,75,dome,active,online,lan,onvif,DemoVendorB,DV-B2,Municipal Demo VMS,connection-profile:demo-ulb-raj-001,credential-profile:demo-ulb-raj-001,true,true,government,Rajkot Demo Municipal Body,true,"{""type"":""vms_storage"",""retention_days"":15}",vehicle_detection|person_detection|crowd_counting,municipal|demo|junction,2025-01-30,Demo Integrator,"{""purpose"":""representative_demo""}",seed,P01-ULB-RAJ-001
ULB-JAM-001,Jamnagar Corridor Demo,ULB,Jamnagar,Jamnagar,Representative corridor coordinate only,22.4707,70.0577,75,135,65,fixed,inactive,offline,cellular_4g,rtsp,DemoVendorC,DV-C3,Municipal Demo VMS,connection-profile:demo-ulb-jam-001,credential-profile:demo-ulb-jam-001,true,false,government,Jamnagar Demo Municipal Body,true,"{""type"":""vms_storage"",""retention_days"":7}",vehicle_detection,corridor|demo|offline,2024-12-08,Demo Integrator,"{""purpose"":""representative_demo""}",seed,P01-ULB-JAM-001
TOURISM-DWK-001,Dwarka Public Area Demo,TOURISM,Devbhumi Dwarka,Dwarka,Representative tourism area coordinate only,22.2442,68.9685,120,225,90,panoramic,active,online,fiber,hls,DemoVendorD,DV-D4,Tourism Demo VMS,connection-profile:demo-tourism-dwk-001,credential-profile:demo-tourism-dwk-001,false,false,government,Tourism Department,true,"{""type"":""cloud_archive"",""retention_days"":15}",person_detection|crowd_counting,tourism|demo|public_area,2025-04-02,Demo Integrator,"{""purpose"":""representative_demo""}",seed,P01-TOURISM-DWK-001
HOME-DAH-001,Dahod Road Demo West,HOME,Dahod,Dahod,Representative roadway coordinate only,22.8390,74.2550,70,270,60,anpr,planned,unknown,unknown,none,DemoVendorA,DV-A1,Department Demo VMS,,,false,false,government,Home Department,true,"{""type"":""not_configured""}",vehicle_detection|anpr,roadway|demo|planned,2026-07-01,Demo Integrator,"{""purpose"":""representative_demo""}",seed,P01-HOME-DAH-001
TOURISM-SOM-001,Somnath Entry Demo,TOURISM,Gir Somnath,Somnath,Representative entry area coordinate only,20.8880,70.4012,85,315,60,dome,active,degraded,broadband,onvif,DemoVendorD,DV-D4,Tourism Demo VMS,connection-profile:demo-tourism-som-001,credential-profile:demo-tourism-som-001,false,true,government,Tourism Department,true,"{""type"":""department_nvr"",""retention_days"":7}",person_detection|crowd_counting,entry|demo|tourism,2025-02-18,Demo Integrator,"{""purpose"":""representative_demo""}",seed,P01-TOURISM-SOM-001
FCS-VLS-001,Valsad Godown Gate Demo,FCS,Valsad,Valsad,Representative facility coordinate only,20.5992,72.9342,45,90,45,fixed,active,online,lan,rtsp,DemoVendorC,DV-C3,Facility Demo VMS,connection-profile:demo-fcs-vls-001,credential-profile:demo-fcs-vls-001,true,false,government,Food and Civil Supplies,false,"{""type"":""local_nvr"",""retention_days"":15}",vehicle_detection|intrusion_detection,facility|demo|gate,2025-05-12,Demo Integrator,"{""purpose"":""representative_demo""}",seed,P01-FCS-VLS-001
